Sample	Cluster
TSC001	2
TSC003	1
TSC005	2
TSC008	2
TSC013	1
TSC016	2
TSC020	2
TSC021	1
TSC025	1
TSC027	1
TSC031	1
TSC036	1
TSC045	1
TSC056	1
TSC060	1
TSC062	1
TSC065	2
TSC068	2
TSC070	1
TSC071	1
TSC073	1
TSC078	2
TSC085	1
TSC089	1
TSC092	1
TSC102	1
TSC110	1
TSC117	1
TSC126	1
TSC135	1
TSC140	1
TSC141	0
TSC145	0
TSC147	1
TSC148	2
TSC149	2
TSC152	1
TSC153	1
TSC156	2
TSC159	1
TSC163	1
TSC167	1
TSC170	1
TSC173	1
TSC184	1
TSC191	1
TSC199	2
TSC207	1
TSC210	1
TSC213	1
TSC216	2
TSC219	1
TSC222	1
TSC223	1
TSC224	1
TSC227	1
TSC229	1
TSC231	1
TSC233	1
TSC235	1
TSC237	1
TSC239	1
TSC242	1
TSC245	0
TSC248	0
TSC251	0
TSC254	0
TSC257	0
TSC259	0
TSC261	0
TSC264	1
TSC265	0
TSC267	0
TSC268	1
TSC270	0
TSC272	0
TSC273	1
TSC274	0
TSC276	0
TSC280	0
TSC281	0
TSC282	0
TSC285	0
